scenario,year,variable,value
SSP2,2039,displacement_beta,3.64052834951157
SSP2,2040,displacement_beta,3.55475891546177
SSP2,2041,displacement_beta,3.76482121762817
SSP2,2042,displacement_beta,3.73038750219217
SSP2,2043,displacement_beta,3.69997196568399
SSP2,2044,displacement_beta,3.67953385120231
SSP2,2045,displacement_beta,3.68350260414048
SSP2,2046,displacement_beta,3.97329869876739
SSP2,2047,displacement_beta,3.98163182322174
SSP2,2048,displacement_beta,3.99715712797623
SSP2,2049,displacement_beta,4.02060206415774
SSP2,2050,displacement_beta,4.05016198400647
SSP2,2051,displacement_beta,4.37140514370035
SSP2,2052,displacement_beta,4.38865391934979
SSP2,2053,displacement_beta,4.40751028324099
SSP2,2054,displacement_beta,4.42984610995477
SSP2,2055,displacement_beta,4.46916143467885
SSP2,2056,displacement_beta,4.77977892738714
SSP2,2057,displacement_beta,4.84246236168511
SSP2,2058,displacement_beta,4.91735289303773
SSP2,2059,displacement_beta,5.01270788958413
SSP2,2060,displacement_beta,5.1284222316221
SSP2,2061,displacement_beta,5.48564315473548
SSP2,2062,displacement_beta,5.55044870024195
SSP2,2063,displacement_beta,5.61865759549165
SSP2,2064,displacement_beta,5.69599142996983
SSP2,2065,displacement_beta,5.78538035846309
SSP2,2066,displacement_beta,6.05746104354626
SSP2,2067,displacement_beta,6.12930021884206
SSP2,2068,displacement_beta,6.22587345730546
SSP2,2069,displacement_beta,6.3440804582384
SSP2,2070,displacement_beta,6.48427585424927
SSP2,2071,displacement_beta,6.69802659920865
SSP2,2072,displacement_beta,6.73079346165125
SSP2,2073,displacement_beta,6.76075885016579
SSP2,2074,displacement_beta,6.79701781280935
SSP2,2075,displacement_beta,6.84320759162526
SSP2,2076,displacement_beta,6.96560242245801
SSP2,2077,displacement_beta,6.99568362000771
SSP2,2078,displacement_beta,7.03339805119728
SSP2,2079,displacement_beta,7.0806417350449
SSP2,2080,displacement_beta,7.1274998134945
SSP2,2081,displacement_beta,7.19220221905656
