scenario,year,historical_humanitarian_needs,humanitarian_needs,intercept,displaced_persons,displacement_beta,tmax,prec,tmax_beta,prec_beta,conflict,conflict_beta,humanitarian_needs_label
SSP2,2027,0,17.2469992543792,-8282028604.83627,23381513.875,3389637288.39793,4828.79133695851,176423.961008978,29665824842.0461,-9946205620.5525,31.683299878698,2419771349.32395,1.09551094916981
SSP2,2028,0,17.3317622190137,-8282028604.83627,23489061.3125,3405228528.82704,4834.54136236404,176558.602545227,29701150296.1017,-9953796269.78708,32.2258545887831,2461208268.70832,1.1008950020402
SSP2,2029,0,17.4239282195139,-8282028604.83627,23661247.90625,3430190560.87755,4840.29138776957,176693.244081475,29736475750.1573,-9961386919.02168,32.7426444695953,2500677432.33703,1.10674928783218
SSP2,2030,0,17.5233023949386,-8282028604.83627,23925346.5234375,3468477154.52666,4846.04141317511,176827.885617724,29771801204.2129,-9968977568.25626,33.1793493815423,2534030209.29159,1.11306142918713
SSP2,2031,0,17.7574710602642,-8282028604.83627,25344755.0078125,3674249969.40201,4851.79143858064,176962.527153973,29807126658.2685,-9976568217.49087,33.1880047889673,2534691254.92079,1.12793557239506
SSP2,2032,0,17.891793654275,-8282028604.83627,25703596.671875,3726271540.44483,4857.54146398617,177097.168690221,29842452112.3241,-9984158866.72545,33.902468101082,2589257473.06781,1.13646759992573
SSP2,2033,0,18.0168603300128,-8282028604.83627,26033298.640625,3774068705.90246,4863.2914893917,177231.81022647,29877777566.3797,-9991749515.96004,34.5510512525031,2638792178.52689,1.14441170142571
SSP2,2034,0,18.1202916454888,-8282028604.83627,26218515.921875,3800919807.43237,4869.04151479724,177366.451762719,29913103020.4354,-9999340165.19464,35.1906090956199,2687637587.65203,1.15098154797814
SSP2,2035,0,18.1721966219047,-8282028604.83627,26101765.5234375,3783994406.1904,4874.79154020277,177501.093298968,29948428474.4909,-10006930814.4292,35.7286943813384,2728733160.48881,1.15427849657431
SSP2,2036,0,18.3365665662504,-8282028604.83627,27320369.5078125,3960656427.6194,4880.5415656083,177635.734835216,29983753928.5466,-10014521463.6638,35.2046020108187,2688706278.58452,1.16471909966644
SSP2,2037,0,18.3148197580386,-8282028604.83627,26739095.9296875,3876388719.1337,4886.29159101384,177770.376371465,30019079382.6022,-10022112112.8984,35.6600740925713,2723492374.03737,1.16333776566426
SSP2,2038,0,18.2368290209326,-8282028604.83627,25872837.171875,3750806474.86242,4892.04161641936,177905.017907714,30054404836.6578,-10029702762.133,35.9200680193339,2743349076.38173,1.15838387744445
SSP2,2039,0,18.1641552979044,-8282028604.83627,25112145.3046875,3640528349.51157,4897.7916418249,178039.659443962,30089730290.7134,-10037293411.3676,36.049295690953,2753218673.88328,1.15376772027299
SSP2,2040,0,18.1116991864012,-8282028604.83627,24520512.9140625,3554758915.46177,4903.54166723043,178174.300980211,30125055744.769,-10044884060.6022,36.1223380674695,2758797191.60896,1.15043576416544
SSP2,2041,0,18.3278792358784,-8282028604.83627,25969510.0234375,3764821217.62817,4911.32083389812,178304.239371864,30172847289.2109,-10052209561.9343,35.6725983197749,2724448895.80991,1.1641672897312
SSP2,2042,0,18.3507956554862,-8282028604.83627,25731988.328125,3730387502.19217,4919.10000056581,178434.177763516,30220638833.6527,-10059535063.2664,35.8936703429947,2741332987.7439,1.1656229161985
SSP2,2043,0,18.3764851875743,-8282028604.83627,25522183.7890625,3699971965.684,4926.8791672335,178564.116155169,30268430378.0946,-10066860564.5984,36.0984400764804,2756972013.23034,1.16725468780505
SSP2,2044,0,18.4123769391847,-8282028604.83627,25381202.90625,3679533851.20231,4934.65833390119,178694.054546822,30316221922.5365,-10074186065.9305,36.3061531981814,2772835836.21264,1.16953449348569
SSP2,2045,0,18.4736776879906,-8282028604.83627,25408579.125,3683502604.14048,4942.43750056888,178823.992938474,30364013466.9784,-10081511567.2626,36.5269877159221,2789701788.97061,1.1734282514965
SSP2,2046,0,18.7871850831516,-8282028604.83627,27407575.1328125,3973298698.76739,4950.21666723658,178953.931330127,30411805011.4203,-10088837068.5946,36.3076093297921,2772947046.39485,1.19334190598091
SSP2,2047,0,18.8524181990043,-8282028604.83627,27465056.5234375,3981631823.22174,4957.99583390427,179083.86972178,30459596555.8621,-10096162569.9267,36.5227873927788,2789380994.68343,1.19748544374137
SSP2,2048,0,18.9275342385272,-8282028604.83627,27572149.140625,3997157127.97623,4965.77500057196,179213.808113432,30507388100.304,-10103488071.2588,36.773196730453,2808505686.34204,1.20225673424483
SSP2,2049,0,19.0129641512647,-8282028604.83627,27733870.8984375,4020602064.15774,4973.55416723965,179343.746505085,30555179644.7459,-10110813572.5909,37.0549550964395,2830024619.78826,1.20768315094551
SSP2,2050,0,19.1056619433552,-8282028604.83627,27937773.4453125,4050161984.00647,4981.33333390734,179473.684896738,30602971189.1877,-10118139073.9229,37.3518089133863,2852696448.92018,1.21357121557062
SSP2,2051,0,19.4482393307523,-8282028604.83627,30153689.4140625,4371405143.70035,4989.11250057503,179603.62328839,30650762733.6296,-10125464575.255,37.1013063008485,2833564633.51362,1.23533136487521
SSP2,2052,0,19.5306975134213,-8282028604.83627,30272670.4296875,4388653919.34979,4996.89166724272,179733.561680043,30698554278.0715,-10132790076.5871,37.4252837787125,2858307997.42342,1.24056902045983
SSP2,2053,0,19.6198511651154,-8282028604.83627,30402740.4921875,4407510283.24099,5004.67083391042,179863.500071696,30746345822.5134,-10140115577.9192,37.8158794734789,2888139242.11647,1.24623196507696
SSP2,2054,0,19.7177685853621,-8282028604.83627,30556811.6796875,4429846109.95477,5012.4500005781,179993.438463348,30794137366.9553,-10147441079.2512,38.2756652771136,2923254792.53959,1.25245157490083
SSP2,2055,0,19.838234973396,-8282028604.83627,30828006.421875,4469161434.67885,5020.22916724579,180123.376855001,30841928911.3971,-10154766580.5833,38.8083749878589,2963939812.73961,1.26010347104529
SSP2,2056,0,20.173693022809,-8282028604.83627,32970627.1796875,4779778927.38714,5028.00833391349,180253.315246654,30889720455.839,-10162092081.9154,38.6037825284673,2948314326.3345,1.28141140761436
SSP2,2057,0,20.3269863861698,-8282028604.83627,33403013.734375,4842462361.68511,5035.78750058118,180383.253638306,30937512000.2809,-10169417583.2475,39.2603419906559,2998458212.28748,1.29114843812731
SSP2,2058,0,20.4999573390466,-8282028604.83627,33919604.109375,4917352893.03773,5043.56666724887,180513.192029959,30985303544.7228,-10176743084.5795,40.0147164191068,3056072590.70188,1.30213536808365
SSP2,2059,0,20.6980887408823,-8282028604.83627,34577357.1328125,5012707889.58413,5051.34583391656,180643.130421611,31033095089.1647,-10184068585.9116,40.8305777570119,3118382952.8814,1.31472046285196
SSP2,2060,0,20.9171452844606,-8282028604.83627,35375547.6953125,5128422231.6221,5059.12500058425,180773.068813264,31080886633.6065,-10191394087.2437,41.6538473536745,3181259111.31188,1.32863470024699
SSP2,2061,0,21.3011903429914,-8282028604.83627,37839636.109375,5485643154.73548,5065.35875063486,180863.206017296,31119183864.5709,-10196475727.8567,41.5701607758536,3174867656.37791,1.35302883167761
SSP2,2062,0,21.4513052855575,-8282028604.83627,38286660.859375,5550448700.24196,5071.59250068547,180953.343221328,31157481095.5354,-10201557368.4696,42.2522515445617,3226961463.0861,1.3625639723006
SSP2,2063,0,21.5996597079,-8282028604.83627,38757161.7109375,5618657595.49166,5077.82625073608,181043.48042536,31195778326.4998,-10206639009.0826,42.866729131248,3273891399.82747,1.37198728656164
SSP2,2064,0,21.7510407936084,-8282028604.83627,39290605.84375,5695991429.96983,5084.06000078669,181133.617629392,31234075557.4642,-10211720649.6956,43.4013588831571,3314723060.70619,1.38160285124305
SSP2,2065,0,21.9088782613264,-8282028604.83627,39907205.2890625,5785380358.46309,5090.29375083729,181223.754833424,31272372788.4286,-10216802290.3085,43.8626818445506,3349956009.57955,1.39162851840544
SSP2,2066,0,22.2122653393607,-8282028604.83627,41784001.46875,6057461043.54626,5096.5275008879,181313.892037456,31310670019.393,-10221883930.9215,43.8376837496774,3348046812.17922,1.41089934116835
SSP2,2067,0,22.3538565406384,-8282028604.83627,42279543.7734375,6129300218.84206,5102.76125093851,181404.029241488,31348967250.3574,-10226965571.5345,44.3160739277001,3384583247.80965,1.41989306285976
SSP2,2068,0,22.5147084856721,-8282028604.83627,42945700.15625,6225873457.30546,5108.99500098912,181494.16644552,31387264481.3218,-10232047212.1474,44.7227991443643,3415646364.02858,1.43011020639764
SSP2,2069,0,22.6944298550835,-8282028604.83627,43761084.9296875,6344080458.2384,5115.22875103972,181584.303649552,31425561712.2862,-10237128852.7604,45.0933294731275,3443945142.15554,1.44152591559354
SSP2,2070,0,22.8938281018491,-8282028604.83627,44728144.328125,6484275854.24927,5121.46250109033,181674.440853584,31463858943.2506,-10242210493.3734,45.4335939219201,3469932402.55878,1.45419147899707
SSP2,2071,0,23.1486021536018,-8282028604.83627,46202584.09375,6698026599.20865,5127.69625114094,181764.578057616,31502156174.215,-10247292133.9863,45.5358243336768,3477740119.00074,1.47037445431602
SSP2,2072,0,23.2414780195992,-8282028604.83627,46428607.9375,6730793461.65126,5133.93000119155,181854.715261648,31540453405.1794,-10252373774.5993,45.887953503038,3504633532.20403,1.47627383000526
SSP2,2073,0,23.3291273904482,-8282028604.83627,46635307.3828125,6760758850.16579,5140.16375124216,181944.85246568,31578750636.1439,-10257455415.2123,46.2083306332842,3529101924.18707,1.48184122431176
SSP2,2074,0,23.4214999099266,-8282028604.83627,46885419.5234375,6797017812.80935,5146.39750129277,182034.989669712,31617047867.1083,-10262537055.8252,46.5081453818595,3551999890.67052,1.48770862796839
SSP2,2075,0,23.5237685343554,-8282028604.83627,47204033.8359375,6843207591.62526,5152.63125134337,182125.126873744,31655345098.0727,-10267618696.4382,46.8075056387084,3574863145.93189,1.49420462162883
SSP2,2076,0,23.6984605867095,-8282028604.83627,48048306.0078125,6965602422.45801,5158.86500139398,182215.264077776,31693642329.0371,-10272700337.0512,47.0573511634527,3593944777.10186,1.50530087398348
SSP2,2077,0,23.7896813817224,-8282028604.83627,48255804.296875,6995683620.00771,5165.09875144459,182305.401281808,31731939560.0015,-10277781977.6641,47.4229744242552,3621868784.2136,1.51109512133368
SSP2,2078,0,23.8886739057734,-8282028604.83627,48515956.171875,7033398051.19728,5171.3325014952,182395.53848584,31770236790.9659,-10282863618.2771,47.7904110759122,3649931286.72361,1.5173830206015
SSP2,2079,0,23.9968617184986,-8282028604.83627,48841840.2578125,7080641735.0449,5177.5662515458,182485.675689872,31808534021.9303,-10287945258.8901,48.1534749668736,3677659825.24977,1.52425499477273
SSP2,2080,0,24.1044119056387,-8282028604.83627,49165064.4609375,7127499813.4945,5183.80000159641,182575.812893904,31846831252.8947,-10293026899.503,48.5132390290448,3705136343.58881,1.53108646764864
SSP2,2081,0,24.2061463333784,-8282028604.83627,49611377.7578125,7192202219.05656,5187.5320850201,182567.768165795,31869759419.6795,-10292573364.0566,48.6919696270492,3718786663.5351,1.53754852970666
SSP2,2082,0,24.2579986020454,-8282028604.83627,49673290.8046875,7201177804.36074,5191.26416844378,182559.723437687,31892687586.4644,-10292119828.6101,48.947227353566,3738281644.6666,1.54084213036299
SSP2,2083,0,24.3141725745251,-8282028604.83627,49773117.578125,7215649773.77356,5194.99625186746,182551.678709579,31915615753.2492,-10291666293.1636,49.1871043921154,3756601945.50221,1.544410241024
SSP2,2084,0,24.3735563882009,-8282028604.83627,49913349.953125,7235979376.46232,5198.72833529115,182543.633981471,31938543920.034,-10291212757.7171,49.392312539116,3772274454.25796,1.54818223736526
