displaced_persons,displaced_persons_t1,displaced_persons_t2,displaced_persons_t3,mean_displaced_persons_t1_o1,mean_displaced_persons_t2_o1,mean_displaced_persons_t3_o1,mean_displaced_persons_t1_o2,mean_displaced_persons_t2_o2,mean_displaced_persons_t3_o2,mean_displaced_persons_t1_o3,mean_displaced_persons_t2_o3,mean_displaced_persons_t3_o3,Region,year,pop,gdp,urban
0,0,0,0,0,0,0,0,0,0,0,0,0,CZE,1961,9.5679960861353,,60.2270027148551
0,0,0,0,0,0,0,0,0,0,0,0,0,POL,1961,29.5422745577882,,48.438116880308
0,0,0,0,0,0,0,0,0,0,0,0,0,ESP,1961,30.7693377934499,,57.4299896772487
0,0,0,0,0,0,0,0,0,0,0,0,0,BOL,1961,3.43016655121859,,37.0417000340091
0,0,0,0,0,0,0,0,0,0,13636.3636363636,0,0,LSO,1961,0.866455323325345,,4.09499703242443
0,0,0,0,0,0,0,0,0,0,0,0,0,BRA,1961,75.0962740631114,,47.1235419298834
0,0,0,0,0,0,0,0,0,0,5172.41379310345,0,0,GIN,1961,3.5799425248676,,10.9338641365184
0,0,0,0,0,0,0,0,0,0,0,0,0,KHM,1961,5.53539070855593,,8.69468308739575
0,0,0,0,0,0,0,0,0,0,0,0,0,TUR,1961,28.9306288189377,,31.8691459878315
0,0,0,0,0,0,0,0,0,0,0,0,0,MMR,1961,21.4022578829421,,19.5227096656341
0,0,0,0,0,0,0,9375,0,0,4545.45454545455,0,0,UGA,1961,7.00543866397965,,4.5826495715083
0,0,0,0,0,0,0,0,0,0,0,0,0,CHL,1961,7.85949712972976,,68.6296752224139
0,0,0,0,0,0,0,0,0,0,0,0,0,URY,1961,2.56865383409273,,80.4558151824412
0,0,0,0,0,0,0,0,0,0,0,0,0,HTI,1961,3.94351377538812,,15.8821443568839
0,0,0,0,0,0,0,6250,0,0,3488.37209302326,0,0,TZA,1961,10.379298419025,,5.34782305900182
0,0,0,0,0,0,0,11538.4615384615,0,0,5357.14285714286,0,0,GNQ,1961,0.250681253100353,,25.7999372735224
0,0,0,0,0,0,0,0,0,0,0,0,0,MAR,1961,11.9264733837462,,29.8779200308623
0,0,0,0,0,0,0,12500,0,0,6521.73913043478,0,0,ZWE,1961,3.88130222589516,,12.9009848861834
0,0,0,0,0,0,0,0,0,0,0,0,0,LAO,1961,2.18147482910515,,7.90904863805771
0,0,0,0,0,0,0,0,0,0,4285.71428571429,0,0,KEN,1961,8.36443790603108,,7.6011921667703
0,0,0,0,0,0,0,0,0,0,0,0,0,SOM,1961,2.86621762301402,,17.85163536918
0,0,0,0,0,0,0,0,0,0,0,0,0,PSE,1961,1.13388494372887,,44.9545306827056
0,0,0,0,0,0,0,0,0,0,5357.14285714286,0,0,BEN,1961,2.45217946715908,,9.85570728446046
0,0,0,0,0,0,0,0,0,0,0,0,0,CYP,1961,0.571500907268742,,36.3246355580002
0,0,0,0,0,0,0,0,0,0,0,0,0,PHL,1961,26.9271339275121,,30.6307807192006
0,0,0,0,0,0,0,0,0,0,0,0,0,NIC,1961,1.82756188045854,,39.8988020509791
0,0,0,0,0,0,0,0,0,0,0,0,0,EGY,1961,28.6392936261554,,38.5873174597439
0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,1961,3.42237918928746,,31.1555407613181
0,0,0,0,0,0,0,0,0,0,0,0,0,IDN,1961,94.2032119894886,,14.870396194605
0,0,0,0,0,0,0,0,0,0,0,0,0,YEM,1961,5.21784551025604,,9.39544411450079
0,0,0,0,0,0,0,0,0,0,0,0,0,AFG,1961,9.86249366587456,,8.25267758387184
0,0,0,0,0,0,0,0,0,0,0,0,0,ERI,1961,1.46015938729497,,10.1127171931229
0,0,0,0,0,0,0,0,0,0,0,0,0,SLV,1961,2.8653645360338,,38.5584366805414
0,0,0,0,0,0,0,0,0,0,0,0,0,GTM,1961,4.27464094627983,,31.851705595515
0,0,0,0,0,0,0,0,0,0,0,0,0,ARG,1961,20.9820428206377,,74.1725179969114
