humanitarian,humanitarian_needs,conflict,temp,nb_conflict,YMHEP,lpop,lGDPcap,ltsc0,nc,ncc1,ncc2,ltsnc,ncts0,lpop.1,lGDPcap_ltsc0,ltimeindep
0,0,0,54,0,0.114595883,9.041172028,7.159540176,3.828641396,0,0,0,0,3.828641415,9.041172028,27.4113119,3.828641415
1,309081675,0,54,1,0.116426438,9.071938515,7.17399931,3.850147602,1,0,0,0.693147182,0,9.071938515,27.62095624,3.850147486
1,312646547,0,54,1,0.118287668,9.102007866,7.192895889,3.871201011,1,0,0,0,0,9.102007866,27.84514584,3.871201038
1,361040474,0,54,1,0.120180093,9.131381989,7.189837933,3.891820298,1,0,0,0.693147182,0,9.131381989,27.98155721,3.891820192
1,368622476,0,54,0,0.122107871,9.088160515,7.261126041,3.912023005,0,0,0,1.098612309,3.912023067,9.088160515,28.40569212,3.912023067
0,0,0,54,1,0.134716079,9.11473465,7.27222681,3.931825633,1,0,0,0,0,9.11473465,28.59312778,3.931825638
0,0,0,54,1,0.147324294,9.140621185,7.28264761,3.951243719,1,0,0,0,0,9.140621185,28.77551562,3.951243639
0,0,0,54,2,0.159932494,9.165854454,7.292448997,3.970291914,1,0,0,0.693147182,0,9.165854454,28.95315128,3.970291853
0,0,0,54,0,0.172540709,9.190466881,7.30168581,3.988984047,0,0,0,1.098612309,3.988984108,9.190466881,29.12630821,3.988984108
0,0,0,54,0,0.058136176,9.359444618,6.806702614,2.48490665,0,0,0,0.693147182,2.484906673,9.359444618,16.91402059,3.68887949
0,0,0,54,0,0.047040686,9.388158798,6.841764927,2.564949357,0,0,0,1.098612309,2.564949274,9.388158798,17.54878055,3.713572025
0,0,0,54,1,0.038067788,9.417061806,6.86302042,2.63905733,1,0,0,1.386294365,0,9.417061806,18.11190434,3.737669706
0,0,0,54,1,0.030810606,9.446130753,6.909082413,2.708050201,1,0,0,0,0,9.446130753,18.71014202,3.76120019
0,0,0,54,1,0.024940386,9.475336075,6.923686981,2.772588722,1,0,0,0.693147182,0,9.475336075,19.19653644,3.784189701
0,0,0,54,0,0.020191487,9.504645348,6.97744894,2.833213344,0,0,0,1.098612309,2.833213329,9.504645348,19.76860145,3.80666256
1,145603737,0,54,0,0.020197565,9.534035683,7.013545036,2.890371758,0,0,0,0,2.890371799,9.534035683,20.2717525,3.828641415
1,315048675,0,54,1,0.02020566,9.563464165,7.019543171,2.944438979,1,0,0,0.693147182,0,9.563464165,20.66861653,3.850147486
1,312646547,0,54,1,0.020215722,9.592853546,7.046534061,2.995732274,1,0,0,0,0,9.592853546,21.1095295,3.871201038
1,379489566,0,54,1,0.02022771,9.622117043,7.046494484,3.044522438,1,0,0,0.693147182,0,9.622117043,21.45321056,3.891820192
1,382785789,0,54,0,0.020238619,9.709218025,7.035297394,3.091042453,0,0,0,1.098612309,3.091042519,9.709218025,21.74640292,3.912023067
0,0,0,54,1,0.022656173,9.735373497,7.073436737,3.135494216,1,0,0,0,0,9.735373497,22.17871998,3.931825638
1,126062151,0,54,1,0.025073728,9.76086235,7.108356953,3.17805383,1,0,0,0,0,9.76086235,22.59074104,3.951243639
1,135540819,0,54,1,0.027491281,9.785717964,7.140468597,3.218875825,1,0,0,0.693147182,0,9.785717964,22.98428175,3.970291853
1,159041792,0,54,0,0.029908836,9.809969902,7.170112133,3.258096538,0,0,0,1.098612309,3.258096457,9.809969902,23.36091752,3.988984108
0,0,0,43,2,0.208568558,11.79345608,6.855766296,2.079441542,1,0,0,3.33220458,0,11.79345608,14.25616524,3.367295742
0,0,0,43,2,0.207972854,11.81102467,6.889595032,2.197224577,1,0,0,3.367295742,0,11.81102467,15.13798753,3.401197433
0,0,0,43,2,0.210406154,11.82778168,6.916044235,2.302585093,1,0,0,3.401197433,0,11.82778168,15.92478036,3.433987141
0,0,0,43,2,0.216417044,11.84356594,6.951485157,2.397895273,1,0,0,3.433987141,0,11.84356594,16.6689334,3.465735912
1,210077952,0,43,2,0.226700708,11.858181,6.997688293,2.48490665,1,0,0,3.465735912,0,11.858181,17.38860217,3.496507645
0,0,1,43,2,0.242134064,11.87154484,7.042173386,2.564949357,1,0,0,3.496507645,0,11.87154484,18.0628181,3.526360512
