timeindep,ltsc0,d1950,d1960,d1970,d1980,d1990,d2000,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0,conflict_actual,conflict_prediction
16.0,2.77,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,2.0,1.0,0.0,2.77,23.81,405.14,23.81,24.46,-0.65,0.24,0.67,7.38,7.86,20.46,21.79,0,0
38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,10.0,9.0,2.2,3.64,28.3,45.65,28.3,27.6,0.7,0.03,0.0,9.23,6.48,0.0,0.0,0,1
21.0,3.04,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,19.0,18.0,2.89,3.04,19.94,128.92,-99.0,19.4,0.54,0.13,0.39,10.93,6.74,33.29,20.52,0,0
127.0,1.61,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.61,0.0,23.0,22.0,3.09,4.84,24.42,319.39,24.42,25.05,-0.63,0.23,0.37,8.44,7.82,13.59,12.59,0,0
17.0,2.83,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,15.0,14.0,2.64,2.83,19.9,144.79,-99.0,19.4,0.5,0.1,0.29,10.83,6.54,30.68,18.52,0,0
39.0,3.53,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,3.0,2.0,0.69,3.66,25.41,486.15,25.41,24.82,0.59,0.1,0.35,7.09,9.54,24.99,33.65,0,0
52.0,3.95,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,49.0,48.0,3.87,3.95,19.86,19.34,19.86,18.5,1.36,0.51,2.01,8.44,8.15,33.35,32.22,0,0
34.0,2.71,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,21.0,20.0,3.0,3.53,24.47,346.62,24.47,24.1,0.37,0.31,0.83,10.61,5.95,28.74,16.12,0,0
213.0,2.89,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,3.0,2.0,0.69,5.36,13.56,418.5,13.56,13.51,0.05,0.22,0.65,9.6,6.44,27.74,18.62,0,0
54.0,3.99,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.99,0.0,23.0,22.0,3.09,3.99,26.36,299.3,26.36,25.96,0.4,0.11,0.43,8.83,7.37,35.21,29.42,0,0
